rank,edits
962,70904
963,70858
964,70853
965,70850
966,70850
967,70847
968,70824
969,70783
970,70763
971,70758
972,70597
973,70574
974,70539
975,70488
976,70449
977,70394
978,70360
979,70346
980,70325
981,70279
982,70191
983,70153
984,70133
985,70109
986,69862
987,69638
988,69629
989,69625
990,69593
991,69531
992,69512
993,69466
994,69374
995,69354
996,69238
997,69225
998,69084
999,69016
1000,68963
1001,68920
1002,68848
1003,68669
1004,68600
1005,68547
1006,68505
1007,68374
1008,68369
1009,68344
1010,68324
1011,68283
1012,68268
1013,68247
1014,68164
1015,68145
1016,68130
1017,68097
1018,68056
1019,68028
1020,67801
1021,67795
1022,67704
1023,67690
1024,67661
1025,67658
1026,67648
1027,67606
1028,67600
1029,67463
1030,67415
1031,67409
1032,67366
1033,67321
1034,67297
1035,67241
1036,67172
1037,67125
1038,67096
1039,67081
1040,67045
1041,67004
1042,66986
1043,66882
1044,66873
1045,66787
1046,66780
1047,66768
1048,66737
1049,66733
1050,66627
1051,66585
1052,66475
1053,66458
1054,66454
1055,66428
1056,66407
1057,66398
1058,66233
1059,66154
1060,66118
1061,66047
1062,66028
1063,66026
1064,65884
1065,65850
1066,65813
1067,65740
1068,65657
1069,65622
1070,65613
1071,65601
1072,65539
1073,65527
1074,65508
1075,65415
1076,65339
1077,65325
1078,65227
1079,65196
1080,65151
1081,64976
1082,64947
1083,64921
1084,64917
1085,64886
1086,64853
1087,64823
1088,64767
1089,64675
1090,64660
1091,64643
1092,64595
1093,64584
1094,64516
1095,64420
1096,64377
1097,64366
1098,64361
1099,64359
1100,64265
1101,64209
1102,64190
1103,64144
1104,64066
1105,63962
1106,63888
1107,63816
1108,63798
1109,63789
1110,63783
1111,63629
1112,63539
1113,63531
1114,63505
1115,63458
1116,63317
1117,63275
1118,63271
1119,63198
1120,63198
1121,63117
1122,62899
1123,62835
1124,62813
1125,62807
1126,62734
1127,62695
1128,62666
1129,62665
1130,62661
1131,62653
1132,62586
1133,62543
1134,62528
1135,62495
1136,62490
1137,62461
1138,62422
1139,62343
1140,62311
1141,62301
1142,62286
1143,62218
1144,62200
1145,62152
1146,62119
1147,62033
1148,62005
1149,61980
1150,61975
1151,61953
1152,61943
1153,61905
1154,61864
1155,61794
1156,61746
1157,61656
1158,61619
1159,61562
1160,61553
1161,61475
1162,61287
1163,61281
1164,61209
1165,61141
1166,61124
1167,61081
1168,61004
1169,60983
1170,60948
1171,60927
1172,60836
1173,60685
1174,60643
1175,60635
1176,60629
1177,60567
1178,60561
1179,60547
1180,60523
1181,60418
1182,60409
1183,60397
1184,60387
1185,60375
1186,60340
1187,60297
1188,60289
1189,60136
1190,60087
1191,60030
1192,60004
1193,59990
1194,59930
1195,59925
1196,59919
1197,59897
1198,59889
1199,59887
1200,59833
1201,59708
1202,59636
1203,59599
1204,59531
1205,59426
1206,59389
1207,59274
1208,59239
1209,59234
1210,59194
1211,59148
1212,59148
1213,59146
1214,59084
1215,59042
1216,59017
1217,58923
1218,58873
1219,58823
1220,58789
1221,58749
1222,58732
1223,58716
1224,58669
1225,58659
1226,58637
1227,58626
1228,58614
1229,58589
1230,58584
1231,58550
1232,58549
1233,58547
1234,58527
1235,58409
1236,58344
1237,58329
1238,58302
1239,58196
1240,58149
1241,58141
1242,58114
1243,58080
1244,58048
1245,58020
1246,57994
1247,57928
1248,57900
1249,57898
1250,57846
1251,57835
1252,57698
1253,57646
1254,57585
1255,57568
1256,57563
1257,57554
1258,57547
1259,57529
1260,57524
1261,57504
1262,57502
1263,57486
1264,57475
1265,57462
1266,57405
1267,57403
1268,57381
1269,57355
1270,57342
1271,57335
1272,57329
1273,57301
1274,57286
1275,57283
1276,57271
1277,57227
1278,57195
1279,57186
1280,57163
1281,57132
1282,57125
1283,57059
1284,57013
1285,56997
1286,56916
1287,56887
1288,56862
1289,56860
1290,56795
1291,56773
1292,56747
1293,56743
1294,56722
1295,56719
1296,56707
1297,56664
1298,56661
1299,56627
1300,56587
1301,56565
1302,56543
1303,56497
1304,56470
1305,56450
1306,56437
1307,56360
1308,56349
1309,56306
1310,56253
1311,56136
1312,56085
1313,55980
1314,55969
1315,55951
1316,55944
1317,55910
1318,55881
1319,55877
1320,55842
1321,55818
1322,55795
1323,55782
1324,55761
1325,55758
1326,55736
1327,55715
1328,55694
1329,55692
1330,55661
1331,55597
1332,55590
1333,55587
1334,55425
1335,55418
1336,55390
1337,55342
1338,55185
1339,55178
1340,55176
1341,55154
1342,55138
1343,55111
1344,55077
1345,55040
1346,55033
1347,55003
1348,54992
1349,54910
1350,54907
1351,54863
1352,54802
1353,54776
1354,54744
1355,54738
1356,54715
1357,54678
1358,54661
1359,54661
1360,54652
1361,54635
1362,54622
1363,54613
1364,54591
1365,54561
1366,54509
1367,54489
1368,54477
1369,54445
1370,54372
1371,54322
1372,54318
1373,54294
1374,54286
1375,54244
1376,54232
1377,54204
1378,54184
1379,54148
1380,54142
1381,54095
1382,54069
1383,54035
1384,54012
1385,53965
1386,53935
1387,53931
1388,53921
1389,53906
1390,53902
1391,53885
1392,53873
1393,53832
1394,53753
1395,53721
1396,53701
1397,53690
1398,53687
1399,53677
1400,53674
1401,53667
1402,53642
1403,53563
1404,53553
1405,53528
1406,53510
1407,53508
1408,53483
1409,53452
1410,53450
1411,53392
1412,53386
1413,53323
1414,53322
1415,53286
1416,53281
1417,53211
1418,53201
1419,53192
1420,53180
1421,53161
1422,53143
1423,53072
1424,53031
1425,53027
1426,53003
1427,53000
1428,52982
1429,52959
1430,52892
1431,52878
1432,52839
1433,52833
1434,52788
1435,52777
1436,52721
1437,52679
1438,52646
1439,52628
1440,52622
1441,52619
1442,52613
1443,52592
1444,52558
1445,52511
1446,52509
1447,52500
1448,52485
1449,52461
1450,52448
1451,52432
1452,52423
1453,52383
1454,52360
1455,52344
1456,52319
1457,52302
1458,52261
1459,52237
1460,52166
1461,52136
1462,52048
1463,51995
1464,51991
1465,51899
1466,51876
1467,51829
1468,51742
1469,51674
1470,51664
1471,51662
1472,51652
1473,51645
1474,51634
1475,51615
1476,51576
1477,51571
1478,51568
1479,51546
1480,51342
1481,51337
1482,51334
1483,51327
1484,51301
1485,51300
1486,51290
1487,51281
1488,51262
1489,51236
1490,51205
1491,51192
1492,51171
1493,51146
1494,51144
1495,51140
1496,51132
1497,51108
1498,51057
1499,51046
1500,51013
1501,51001
1502,50987
1503,50956
1504,50914
1505,50898
1506,50892
1507,50830
1508,50763
1509,50762
1510,50726
1511,50723
1512,50692
1513,50675
1514,50651
1515,50614
1516,50583
1517,50582
1518,50559
1519,50557
1520,50496
1521,50427
1522,50397
1523,50383
1524,50367
1525,50312
1526,50298
1527,50170
1528,50114
1529,50097
1530,50087
1531,50085
1532,50076
1533,50029
1534,50017
1535,50014
1536,49995
1537,49966
1538,49957
1539,49947
1540,49947
1541,49945
1542,49923
1543,49920
1544,49915
1545,49870
1546,49869
1547,49836
1548,49808
1549,49804
1550,49792
1551,49786
1552,49766
1553,49762
1554,49695
1555,49689
1556,49678
1557,49672
1558,49641
1559,49614
1560,49442
1561,49435
1562,49407
1563,49400
1564,49399
1565,49351
1566,49325
1567,49325
